00007ff8002e6888 (__TEXT,__text) external ___big_insert
00007ff8002e71a7 (__TEXT,__text) external ___big_keydata
00007ff8002e6e32 (__TEXT,__text) external ___big_return
00007ff8002e7314 (__TEXT,__text) external ___big_split
00007ff800320150 (__TEXT,__const) external ___bigtens_D2A
00007ff8002e1978 (__TEXT,__text) external ___bt_close
00007ff8002e5557 (__TEXT,__text) external ___bt_cmp
00007ff8002e55f7 (__TEXT,__text) external ___bt_defcmp
00007ff8002e563c (__TEXT,__text) external ___bt_defpfx
00007ff8002e1dc7 (__TEXT,__text) external ___bt_delete
00007ff8002e2427 (__TEXT,__text) external ___bt_dleaf
00007ff8002e323f (__TEXT,__text) external ___bt_fd
00007ff8002e41fe (__TEXT,__text) non-external ___bt_first
00007ff8002e35e5 (__TEXT,__text) external ___bt_free
00007ff8002e2a7a (__TEXT,__text) external ___bt_get
00007ff8002e3616 (__TEXT,__text) external ___bt_new
00007ff8002e2b50 (__TEXT,__text) external ___bt_open
00007ff8002e27c4 (__TEXT,__text) non-external ___bt_pdelete
00007ff8002e1b0c (__TEXT,__text) external ___bt_pgin
00007ff8002e1c8b (__TEXT,__text) external ___bt_pgout
00007ff8002e3669 (__TEXT,__text) external ___bt_put
00007ff8002e29f4 (__TEXT,__text) non-external ___bt_relink
00007ff8002e53ba (__TEXT,__text) external ___bt_ret
00007ff8002e3bb5 (__TEXT,__text) external ___bt_search
00007ff8002e3df4 (__TEXT,__text) external ___bt_seq
00007ff8002e41b4 (__TEXT,__text) external ___bt_setcur
00007ff8002e43da (__TEXT,__text) external ___bt_split
00007ff8002e20bd (__TEXT,__text) non-external ___bt_stkacq
00007ff8002e1a3d (__TEXT,__text) external ___bt_sync
00007ff8002e78cd (__TEXT,__text) external ___buf_free
00007ff8002e7895 (__TEXT,__text) non-external (was a private external) ___buf_init
                 (undefined) external ___bzero (from libsystem_platform)
00007ff843ace2f0 (__DATA_DIRTY,__data) non-external ___c_locale
00007ff80031325b (__TEXT,__text) non-external ___calc_left_pad
00007ff8002e640d (__TEXT,__text) external ___call_hash
00007ff841d57c00 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff80031bd3a (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff80031bd4c (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff8002cddee (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff8002a5094 (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff8002d77d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff8002d77f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00007ff843ad08e0 (__DATA_DIRTY,__common) external ___cleanup
00007ff8002b061d (__TEXT,__text) external ___cmp_D2A
00007ff8002f2f3b (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff8002f30d2 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff8002f3248 (__TEXT,__text) external ___collate_equiv_match
00007ff8002ba235 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff8002f2776 (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff841d57830 (__DATA,__data) external ___collate_load_error
00007ff8002c1eed (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff841d59ee0 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff8002f2a84 (__TEXT,__text) external ___collate_lookup
00007ff8002f2833 (__TEXT,__text) external ___collate_lookup_l
00007ff8002f2c49 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff8002f2b44 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
