000000020c0aa094 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
000000020c0aa5d8 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
000000020c0aa298 (__TEXT,__text) external _AAEntryACLBlobSetEntry
000000020c0a64fc (__TEXT,__text) external _AAEntryXATBlobAppendEntry
000000020c0a6cf8 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
000000020c0a6ce8 (__TEXT,__text) external _AAEntryXATBlobClear
000000020c0a6b3c (__TEXT,__text) external _AAEntryXATBlobCreate
000000020c0a6c28 (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
000000020c0a6c84 (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
000000020c0a6bb0 (__TEXT,__text) external _AAEntryXATBlobDestroy
000000020c0a73b4 (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
000000020c0a73ac (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
000000020c0a6e60 (__TEXT,__text) external _AAEntryXATBlobGetEntry
000000020c0a6e58 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
000000020c0a72b0 (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
000000020c0a6fb8 (__TEXT,__text) external _AAEntryXATBlobSetEntry
000000020c0b0490 (__TEXT,__text) external _AAEntryYECBlobApplyToPath
000000020c0b02f4 (__TEXT,__text) external _AAEntryYECBlobCreate
000000020c0b03c0 (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
000000020c0b041c (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
000000020c0b0368 (__TEXT,__text) external _AAEntryYECBlobDestroy
000000020c0b06e8 (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
000000020c0b06e0 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
000000020c09e1e0 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
000000020c09b864 (__TEXT,__text) external _AAFieldKeySetClear
000000020c09b72c (__TEXT,__text) external _AAFieldKeySetClone
000000020c09b870 (__TEXT,__text) external _AAFieldKeySetContainsKey
000000020c09b348 (__TEXT,__text) external _AAFieldKeySetCreate
000000020c09b3bc (__TEXT,__text) external _AAFieldKeySetCreateWithString
000000020c09b6e8 (__TEXT,__text) external _AAFieldKeySetDestroy
000000020c09bf98 (__TEXT,__text) external _AAFieldKeySetGetKey
000000020c09bf90 (__TEXT,__text) external _AAFieldKeySetGetKeyCount
000000020c09b950 (__TEXT,__text) external _AAFieldKeySetInsertKey
000000020c09bc6c (__TEXT,__text) external _AAFieldKeySetInsertKeySet
000000020c09bb5c (__TEXT,__text) external _AAFieldKeySetRemoveKey
000000020c09be64 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
000000020c09bf18 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
000000020c09bfa4 (__TEXT,__text) external _AAFieldKeySetSerialize
000000020c0b31c8 (__TEXT,__text) external _AAFileStreamOpenWithFD
000000020c0b35a4 (__TEXT,__text) external _AAFileStreamOpenWithPath
000000020c0bc204 (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
000000020c0a44f0 (__TEXT,__text) external _AAHeaderAssign
000000020c0a4ab0 (__TEXT,__text) external _AAHeaderClear
000000020c0a4434 (__TEXT,__text) external _AAHeaderClone
000000020c0a431c (__TEXT,__text) external _AAHeaderCreate
000000020c0a46b4 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
000000020c0a4710 (__TEXT,__text) external _AAHeaderCreateWithPath
000000020c0a43d0 (__TEXT,__text) external _AAHeaderDestroy
000000020c0a5d38 (__TEXT,__text) external _AAHeaderGetEncodedData
000000020c0a5d30 (__TEXT,__text) external _AAHeaderGetEncodedSize
000000020c0a41c4 (__TEXT,__text) external _AAHeaderGetFieldBlob
000000020c0a4150 (__TEXT,__text) external _AAHeaderGetFieldCount
000000020c0a4cf8 (__TEXT,__text) external _AAHeaderGetFieldHash
000000020c0a427c (__TEXT,__text) external _AAHeaderGetFieldKey
000000020c0a4bcc (__TEXT,__text) external _AAHeaderGetFieldString
000000020c0a4e58 (__TEXT,__text) external _AAHeaderGetFieldTimespec
000000020c0a4158 (__TEXT,__text) external _AAHeaderGetFieldType
000000020c0a4b1c (__TEXT,__text) external _AAHeaderGetFieldUInt
000000020c0a4ae0 (__TEXT,__text) external _AAHeaderGetKeyIndex
000000020c0a5d28 (__TEXT,__text) external _AAHeaderGetPayloadSize
000000020c0a4774 (__TEXT,__text) external _AAHeaderRemoveField
000000020c0a5b28 (__TEXT,__text) external _AAHeaderSetFieldBlob
000000020c0a4fcc (__TEXT,__text) external _AAHeaderSetFieldFlag
000000020c0a56bc (__TEXT,__text) external _AAHeaderSetFieldHash
000000020c0a5460 (__TEXT,__text) external _AAHeaderSetFieldString
000000020c0a5938 (__TEXT,__text) external _AAHeaderSetFieldTimespec
000000020c0a5248 (__TEXT,__text) external _AAHeaderSetFieldUInt
000000020c0b3a74 (__TEXT,__text) external _AAMagicInputStreamOpen
000000020c06eb78 (__TEXT,__text) external _AAMemoryInputStreamOpen
000000020c06efd4 (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
000000020c06edd4 (__TEXT,__text) external _AAMemoryOutputStreamOpen
000000020c0547dc (__TEXT,__text) external _AAPathFilterAddRule
000000020c054cc8 (__TEXT,__text) external _AAPathFilterApply
