00007ffa1849afe3 (__TEXT,__text) external _glColor3fv
00007ffa1849b000 (__TEXT,__text) external _glColor3i
00007ffa1849b020 (__TEXT,__text) external _glColor3iv
00007ffa1849b03d (__TEXT,__text) external _glColor3s
00007ffa1849b05d (__TEXT,__text) external _glColor3sv
00007ffa1849b07a (__TEXT,__text) external _glColor3ub
00007ffa1849b09a (__TEXT,__text) external _glColor3ubv
00007ffa1849b0b7 (__TEXT,__text) external _glColor3ui
00007ffa1849b0d7 (__TEXT,__text) external _glColor3uiv
00007ffa1849b0f4 (__TEXT,__text) external _glColor3us
00007ffa1849b114 (__TEXT,__text) external _glColor3usv
00007ffa1849b131 (__TEXT,__text) external _glColor4b
00007ffa1849b154 (__TEXT,__text) external _glColor4bv
00007ffa1849b171 (__TEXT,__text) external _glColor4d
00007ffa1849b18b (__TEXT,__text) external _glColor4dv
00007ffa1849b1a8 (__TEXT,__text) external _glColor4f
00007ffa1849b1c2 (__TEXT,__text) external _glColor4fv
00007ffa1849b1df (__TEXT,__text) external _glColor4i
00007ffa1849b202 (__TEXT,__text) external _glColor4iv
00007ffa1849b21f (__TEXT,__text) external _glColor4s
00007ffa1849b242 (__TEXT,__text) external _glColor4sv
00007ffa1849b25f (__TEXT,__text) external _glColor4ub
00007ffa1849b282 (__TEXT,__text) external _glColor4ubv
00007ffa1849b29f (__TEXT,__text) external _glColor4ui
00007ffa1849b2c2 (__TEXT,__text) external _glColor4uiv
00007ffa1849b2df (__TEXT,__text) external _glColor4us
00007ffa1849b302 (__TEXT,__text) external _glColor4usv
00007ffa1849b31f (__TEXT,__text) external _glColorMask
00007ffa184a469a (__TEXT,__text) external _glColorMaskIndexedEXT
00007ffa1849fa10 (__TEXT,__text) external _glColorMaski
00007ffa1849b342 (__TEXT,__text) external _glColorMaterial
00007ffa1849b360 (__TEXT,__text) external _glColorPointer
00007ffa1849d801 (__TEXT,__text) external _glColorSubTable
00007ffa184a385d (__TEXT,__text) external _glColorSubTableEXT
00007ffa1849d6fa (__TEXT,__text) external _glColorTable
00007ffa184a3829 (__TEXT,__text) external _glColorTableEXT
00007ffa1849d72e (__TEXT,__text) external _glColorTableParameterfv
00007ffa1849d750 (__TEXT,__text) external _glColorTableParameteriv
00007ffa184a4e9f (__TEXT,__text) external _glCombinerInputNV
00007ffa184a4ea5 (__TEXT,__text) external _glCombinerOutputNV
00007ffa184a4e8d (__TEXT,__text) external _glCombinerParameterfNV
00007ffa184a4e87 (__TEXT,__text) external _glCombinerParameterfvNV
00007ffa184a4e99 (__TEXT,__text) external _glCombinerParameteriNV
00007ffa184a4e93 (__TEXT,__text) external _glCombinerParameterivNV
00007ffa184a4ed5 (__TEXT,__text) external _glCombinerStageParameterfvNV
00007ffa1849efa4 (__TEXT,__text) external _glCompileShader
00007ffa184a3015 (__TEXT,__text) external _glCompileShaderARB
00007ffa184a3687 (__TEXT,__text) external _glCompileShaderIncludeARB
00007ffa1849e0d2 (__TEXT,__text) external _glCompressedTexImage1D
00007ffa184a29e2 (__TEXT,__text) external _glCompressedTexImage1DARB
00007ffa1849e098 (__TEXT,__text) external _glCompressedTexImage2D
00007ffa184a29a8 (__TEXT,__text) external _glCompressedTexImage2DARB
00007ffa1849e05a (__TEXT,__text) external _glCompressedTexImage3D
00007ffa184a296a (__TEXT,__text) external _glCompressedTexImage3DARB
00007ffa1849e191 (__TEXT,__text) external _glCompressedTexSubImage1D
00007ffa184a2aa1 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00007ffa1849e153 (__TEXT,__text) external _glCompressedTexSubImage2D
00007ffa184a2a63 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00007ffa1849e102 (__TEXT,__text) external _glCompressedTexSubImage3D
00007ffa184a2a12 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00007ffa1849d85c (__TEXT,__text) external _glConvolutionFilter1D
00007ffa1849d890 (__TEXT,__text) external _glConvolutionFilter2D
00007ffa1849d8c0 (__TEXT,__text) external _glConvolutionParameterf
00007ffa1849d8de (__TEXT,__text) external _glConvolutionParameterfv
00007ffa1849d900 (__TEXT,__text) external _glConvolutionParameteri
00007ffa1849d921 (__TEXT,__text) external _glConvolutionParameteriv
00007ffa184a018d (__TEXT,__text) external _glCopyBufferSubData
00007ffa1849d835 (__TEXT,__text) external _glCopyColorSubTable
00007ffa1849d772 (__TEXT,__text) external _glCopyColorTable
00007ffa1849d943 (__TEXT,__text) external _glCopyConvolutionFilter1D
00007ffa1849d96a (__TEXT,__text) external _glCopyConvolutionFilter2D
00007ffa1849b383 (__TEXT,__text) external _glCopyPixels
00007ffa1849b3a9 (__TEXT,__text) external _glCopyTexImage1D
00007ffa1849b3dc (__TEXT,__text) external _glCopyTexImage2D
00007ffa1849b41b (__TEXT,__text) external _glCopyTexSubImage1D
00007ffa1849b44f (__TEXT,__text) external _glCopyTexSubImage2D
00007ffa1849d6b7 (__TEXT,__text) external _glCopyTexSubImage3D
00007ffa1849efc3 (__TEXT,__text) external _glCreateProgram
00007ffa184a3032 (__TEXT,__text) external _glCreateProgramObjectARB
00007ffa1849ef60 (__TEXT,__text) external _glCreateShader
00007ffa184a2fd3 (__TEXT,__text) external _glCreateShaderObjectARB
00007ffa184a10ff (__TEXT,__text) external _glCreateShaderProgramv
00007ffa1849b48e (__TEXT,__text) external _glCullFace
00007ffa1849e865 (__TEXT,__text) external _glDeleteBuffers
