00007ffb18d5f510 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffb18d4888f (__TEXT,__text) external __scan_table_start
00007ffb18d5f310 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffb18d48db6 (__TEXT,__text) external __scan_tasklist
00007ffb18d5f610 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffb18d55f91 (__TEXT,__text) non-external _add_child
00007ffb18d5e736 (__TEXT,__text) non-external _add_child.cold.1
00007ffb18d5665b (__TEXT,__text) non-external _add_line
00007ffb18d5e79f (__TEXT,__text) non-external _add_line.cold.1
00007ffb18d5b3ec (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffb18d5e089 (__TEXT,__text) non-external _alloc_arena_chunk
00007ffb18d5e1c4 (__TEXT,__text) non-external _arena_calloc
00007ffb18d5e2da (__TEXT,__text) non-external _arena_free
00007ffb4306cc20 (__DATA,__bss) non-external _arena_lock
00007ffb4306caa0 (__DATA,__data) non-external _arena_once
00007ffb18d5e292 (__TEXT,__text) non-external _arena_realloc
00007ffb18d47b1e (__TEXT,__text) non-external _autolink_delim
00007ffb4306c910 (__DATA,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _calloc (from libSystem)
00007ffb18d46b0d (__TEXT,__text) non-external _can_contain
00007ffb18d49274 (__TEXT,__text) non-external _can_contain
00007ffb18d5d0d3 (__TEXT,__text) non-external _can_contain
00007ffb18d47a38 (__TEXT,__text) non-external _check_domain
00007ffb18d5b6e3 (__TEXT,__text) non-external _chunk_clone
00007ffb18d5e0e0 (__TEXT,__text) external _cmark_arena_pop
00007ffb18d5e038 (__TEXT,__text) external _cmark_arena_push
00007ffb18d5e15e (__TEXT,__text) external _cmark_arena_reset
00007ffb18d57e76 (__TEXT,__text) external _cmark_clean_attributes
00007ffb18d57de9 (__TEXT,__text) external _cmark_clean_title
00007ffb18d57d1e (__TEXT,__text) external _cmark_clean_url
00007ffb18d5e7d1 (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffb18d5e7f2 (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffb18d496cd (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffb18d5f210 (__TEXT,__const) non-external _cmark_ctype_class
00007ffb43064440 (__DATA,__const) non-external _cmark_entities
00007ffb18d48243 (__TEXT,__text) external _cmark_find_syntax_extension
00007ffb18d538c7 (__TEXT,__text) external _cmark_footnote_create
00007ffb18d5e593 (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffb18d5392f (__TEXT,__text) external _cmark_footnote_map_new
00007ffb18d5e2e0 (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffb18d45793 (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffb18d5397c (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffb18d5dc2a (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffb18d5dc0a (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffb18d5dcc5 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00007ffb18d46922 (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffb18d5dc6d (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffb18d5dc48 (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffb18d5dce5 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffb18d468cd (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffb18d5b32f (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffb18d5b35d (__TEXT,__text) external _cmark_inline_parser_get_chunk
