000000018039adf0 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000018039ae1c (__TEXT,__text) external ___mach_eventlink_wait_until
000000018039ae48 (__TEXT,__text) external ___map_with_linking_np
000000018039ae74 (__TEXT,__text) external ___memorystatus_available_memory
000000018039aea0 (__TEXT,__text) external ___microstackshot
000000018039aecc (__TEXT,__text) external ___mkdir_extended
000000018039aef8 (__TEXT,__text) external ___mkfifo_extended
000000018038ea1c (__TEXT,__text) external ___mmap
0000000180391b54 (__TEXT,__text) external ___mprotect
000000018039af24 (__TEXT,__text) external ___msgctl
000000018039af50 (__TEXT,__text) external ___msgrcv_nocancel
000000018039af7c (__TEXT,__text) external ___msgsnd_nocancel
000000018039afa8 (__TEXT,__text) external ___msgsys
00000001803941dc (__TEXT,__text) external ___msync
000000018039afd4 (__TEXT,__text) external ___msync_nocancel
0000000180391778 (__TEXT,__text) external ___munmap
000000018039b000 (__TEXT,__text) external ___nexus_create
000000018039b02c (__TEXT,__text) external ___nexus_deregister
000000018039b058 (__TEXT,__text) external ___nexus_destroy
000000018039b084 (__TEXT,__text) external ___nexus_get_opt
000000018039b0b0 (__TEXT,__text) external ___nexus_open
000000018039b0dc (__TEXT,__text) external ___nexus_register
000000018039b108 (__TEXT,__text) external ___nexus_set_opt
000000018038e7c0 (__TEXT,__text) external ___open
0000000180393720 (__TEXT,__text) external ___open_dprotected_np
0000000180399ec0 (__TEXT,__text) external ___open_extended
000000018038e950 (__TEXT,__text) external ___open_nocancel
000000018038f5dc (__TEXT,__text) external ___openat
000000018039b134 (__TEXT,__text) external ___openat_dprotected_np
0000000180393880 (__TEXT,__text) external ___openat_nocancel
00000001d9214cc8 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00000001803a7e54 (__TEXT,__text) external ___os_nexus_flow_add
00000001803a7edc (__TEXT,__text) external ___os_nexus_flow_del
00000001803a7f64 (__TEXT,__text) external ___os_nexus_get_llink_info
00000001803a7c74 (__TEXT,__text) external ___os_nexus_ifattach
00000001803a7d94 (__TEXT,__text) external ___os_nexus_ifdetach
0000000180391ca4 (__TEXT,__text) external ___persona
0000000180394208 (__TEXT,__text) external ___pipe
000000018039b160 (__TEXT,__text) external ___poll_nocancel
0000000180394e3c (__TEXT,__text) external ___posix_spawn
