00007ff801d9144a (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff801d91bd5 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff801dc3ba5 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff801d7a296 (__TEXT,__text) external ___Balloc_D2A
00007ff801d7a461 (__TEXT,__text) external ___Bfree_D2A
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff801dab5b9 (__TEXT,__text) external ____mb_cur_max
00007ff801dab5e7 (__TEXT,__text) external ____mb_cur_max_l
00007ff801d7fbc7 (__TEXT,__text) external ____runetype
00007ff801d7fbef (__TEXT,__text) external ____runetype_l
00007ff801dc3a8a (__TEXT,__text) external ____tolower
00007ff801dc39da (__TEXT,__text) external ____tolower_l
00007ff801dc3b62 (__TEXT,__text) external ____toupper
00007ff801dc3ab2 (__TEXT,__text) external ____toupper_l
00007ff801de974d (__TEXT,__text) non-external (was a private external) ___abort
00007ff801db6258 (__TEXT,__text) external ___add_ovflpage
00007ff801db5fc9 (__TEXT,__text) external ___addel
00007ff801d7ee48 (__TEXT,__text) external ___any_on_D2A
00007ff801de886e (__TEXT,__text) external ___assert_rtn
00007ff8438c2648 (__DATA_DIRTY,__bss) non-external ___atexit
00007ff801d8bd21 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff8438c2650 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00007ff801d92d82 (__TEXT,__text) external ___b2d_D2A
00007ff801db47ee (__TEXT,__text) external ___big_delete
00007ff801db4534 (__TEXT,__text) external ___big_insert
00007ff801db4e19 (__TEXT,__text) external ___big_keydata
00007ff801db4abc (__TEXT,__text) external ___big_return
00007ff801db4f8d (__TEXT,__text) external ___big_split
00007ff801debd50 (__TEXT,__const) external ___bigtens_D2A
00007ff801daf60f (__TEXT,__text) external ___bt_close
00007ff801db324e (__TEXT,__text) external ___bt_cmp
00007ff801db32ee (__TEXT,__text) external ___bt_defcmp
00007ff801db3335 (__TEXT,__text) external ___bt_defpfx
00007ff801dafa8a (__TEXT,__text) external ___bt_delete
00007ff801db00da (__TEXT,__text) external ___bt_dleaf
00007ff801db0f10 (__TEXT,__text) external ___bt_fd
00007ff801db1f22 (__TEXT,__text) non-external ___bt_first
00007ff801db12c3 (__TEXT,__text) external ___bt_free
00007ff801db0724 (__TEXT,__text) external ___bt_get
00007ff801db12f4 (__TEXT,__text) external ___bt_new
00007ff801db07fc (__TEXT,__text) external ___bt_open
00007ff801db0496 (__TEXT,__text) non-external ___bt_pdelete
00007ff801daf7a9 (__TEXT,__text) external ___bt_pgin
00007ff801daf93d (__TEXT,__text) external ___bt_pgout
00007ff801db1347 (__TEXT,__text) external ___bt_put
00007ff801db069b (__TEXT,__text) non-external ___bt_relink
00007ff801db309c (__TEXT,__text) external ___bt_ret
00007ff801db18b7 (__TEXT,__text) external ___bt_search
00007ff801db1b10 (__TEXT,__text) external ___bt_seq
00007ff801db1ed8 (__TEXT,__text) external ___bt_setcur
00007ff801db20f3 (__TEXT,__text) external ___bt_split
00007ff801dafd8e (__TEXT,__text) non-external ___bt_stkacq
00007ff801daf6db (__TEXT,__text) external ___bt_sync
00007ff801db555e (__TEXT,__text) external ___buf_free
00007ff801db5526 (__TEXT,__text) non-external (was a private external) ___buf_init
                 (undefined) external ___bzero (from libsystem_platform)
00007ff8438c00e8 (__DATA_DIRTY,__data) non-external ___c_locale
00007ff801de171d (__TEXT,__text) non-external ___calc_left_pad
00007ff801db4108 (__TEXT,__text) external ___call_hash
00007ff843ac2c40 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff801de7a82 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff801de7a94 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff801d9ab3e (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff801d6f8c3 (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff801da4fa0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff801da4fc0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00007ff8438c26d0 (__DATA_DIRTY,__common) external ___cleanup
00007ff801d7b3c4 (__TEXT,__text) external ___cmp_D2A
00007ff801dc179c (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff801dc1994 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff801dc1b65 (__TEXT,__text) external ___collate_equiv_match
00007ff801d8679a (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff801dc1fc2 (__TEXT,__text) non-external (was a private external) ___collate_equiv_wchar
00007ff801de9133 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.1
00007ff801de9156 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.2
00007ff801dc0dce (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff843ac2830 (__DATA,__data) external ___collate_load_error
00007ff801d8df2e (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff843ac42b0 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff801dc05e6 (__TEXT,__text) non-external ___collate_load_tables_legacy
00007ff801dc12ac (__TEXT,__text) external ___collate_lookup
00007ff801dc1133 (__TEXT,__text) external ___collate_lookup_l
00007ff801dc147c (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff801dc136d (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff801dc21f7 (__TEXT,__text) non-external ___collate_pri_for
00007ff801de9179 (__TEXT,__text) non-external ___collate_pri_for.cold.1
00007ff801dc223e (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff843ac42b8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff843ac42c0 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff801dc0bbe (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff801dc0d7c (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff801dc1552 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff801d8bd10 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff801d7df1a (__TEXT,__text) external ___copybits_D2A
00007ff801da5847 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00007ff801da521f (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00007ff843ac3980 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00007ff843ac4868 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
00007ff801ddb12f (__TEXT,__text) non-external ___cvt
00007ff843ac47f0 (__DATA,__bss) non-external ___cvt.s
00007ff801d700bb (__TEXT,__text) external ___cxa_atexit
00007ff801d94cd2 (__TEXT,__text) external ___cxa_finalize
00007ff801d94d0a (__TEXT,__text) external ___cxa_finalize_ranges
00007ff801dd70b5 (__TEXT,__text) external ___cxa_thread_atexit
00007ff801d7a174 (__TEXT,__text) external ___d2b_D2A
00007ff8438c2688 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00007ff801db341e (__TEXT,__text) non-external ___dberr
00007ff801db33f9 (__TEXT,__text) external ___dbpanic
00007ff843ac2740 (__DATA,__data) external ___default_hash
00007ff801ddfbc7 (__TEXT,__text) external ___default_utx
00007ff843ac2bf0 (__DATA,__data) non-external ___default_utx.once
00007ff801ddfbe7 (__TEXT,__text) non-external ___default_utx_init
00007ff801db5768 (__TEXT,__text) external ___delpair
00007ff801d8de9b (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff801d7b2c3 (__TEXT,__text) external ___diff_D2A
00007ff8438c0da0 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00007ff801d79208 (__TEXT,__text) external ___dtoa
00007ff801ddfd0d (__TEXT,__text) non-external (was a private external) ___endutxent
00007ff8438c26e0 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
00007ff801dd7122 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff843ac4788 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff801d9b19d (__TEXT,__text) non-external (was a private external) ___errstr
00007ff801d7f461 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff801db3fb5 (__TEXT,__text) external ___expand_table
00007ff843ac4580 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff801d7ce5e (__TEXT,__text) external ___fflush
00007ff801dc8981 (__TEXT,__text) external ___fgetwc
00007ff801dca2a4 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff801db4932 (__TEXT,__text) external ___find_bigpair
00007ff801db4a46 (__TEXT,__text) external ___find_last_page
00007ff801dcb394 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff801d69d6a (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff801d8fec9 (__TEXT,__text) external ___fix_locale_grouping_str
00007ff801dc2814 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff801dc9068 (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff801d767ce (__TEXT,__text) external ___fread
00007ff801db6b37 (__TEXT,__text) external ___free_ovflpage
00007ff801d7a4ac (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
                 (undefined) external ___fstat_extended (from libsystem_kernel)
00007ff843ac2c44 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff801d7bade (__TEXT,__text) non-external ___fts_open
00007ff801d7bd7e (__TEXT,__text) non-external ___fts_open
00007ff801db8f10 (__TEXT,__text) external ___gdtoa
00007ff843ac48a0 (__DATA,__common) external ___gdtoa_locks
00007ff801db511c (__TEXT,__text) external ___get_buf
00007ff801dc2de3 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff801d6eb48 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff801d6eb6b (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff801d8c43e (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff801d96e02 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff801db6611 (__TEXT,__text) external ___get_page
00007ff801d955f8 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff8438c2610 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
                 (undefined) external ___getlogin (from libsystem_kernel)
00007ff801dc2e06 (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff801ddfdd1 (__TEXT,__text) non-external (was a private external) ___getutxent
00007ff801de0138 (__TEXT,__text) non-external ___getutxid
00007ff801d99cc0 (__TEXT,__text) non-external (was a private external) ___gl_compare
00007ff801d996f7 (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00007ff801dbd0cc (__TEXT,__text) non-external (was a private external) ___gl_g_strchr
00007ff801d99a90 (__TEXT,__text) non-external (was a private external) ___gl_globextend
00007ff801d98843 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
